,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery_name,Latitude,Longitude,Min_temp,Max_temp,Precip,Humidity,Heat_Index,review_neg,review_neu,review_pos
161,US,"Aromas of cranberry, barrel spice and herb are followed by tart cranberry flavors with grainy tannins. It falls a bit flat and the variety seems hard to discern.",,86,55,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Mellisoni 2014 Malbec (Columbia Valley (WA)),Malbec,Mellisoni winery,47.8353227,-120.0690467,-4,113.3,7.85,55.9,107.3,0.051,0.949,0
162,US,"This wine seems quite evolved for its age, with aromas of leather and dried cranberry. It's light bodied with gritty tannins.",M Series Reserve,85,107,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Mellisoni 2011 M Series Reserve Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Mellisoni winery,47.8353227,-120.0690467,-4,113.3,7.85,55.9,107.3,0,1,0
163,US,"This seems like it came from a considerably cooler vintage and also like it has had some age. Light aromas of herb, wood spice, medicine cabinet, leather and mesquite are followed by tart light-bodied cranberry flavors. The tannins bring a slight sense of astringency.",M Series Reserve,85,107,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Mellisoni 2013 M Series Reserve Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Mellisoni winery,47.8353227,-120.0690467,-4,113.3,7.85,55.9,107.3,0,0.889,0.111
164,US,"This wine is a blend of Roussanne (45%), Viognier (40%) and Chardonnay. Red apple and melon aromas are followed by medium-sweet fruit flavors. It needs more acidity to hold it together.",3 Bastards,83,45,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Mellisoni 2016 3 Bastards White (Columbia Valley (WA)),White Blend,Mellisoni winery,47.8353227,-120.0690467,-4,113.3,7.85,55.9,107.3,0,1,0
165,US,"This electric-pink-colored wine is a saignée-blend of Merlot, Malbec, Cabernet Sauvignon, Sangiovese and Barbera. Aromas of cherry and herb lead to broad off-dry tangy cherry flavors that don't seem fully connected together.",180 Degrees,82,35,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Mellisoni 2016 180 Degrees Rosé (Columbia Valley (WA)),Rosé,Mellisoni winery,47.8353227,-120.0690467,-4,113.3,7.85,55.9,107.3,0,1,0
166,US,Apple and pear aromas are followed by lightly sweet rounded fruit flavors. It provides easy-drinking appeal but the sugar seems out of place.,,84,50,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Mellisoni 2016 Chardonnay (Columbia Valley (WA)),Chardonnay,Mellisoni winery,47.8353227,-120.0690467,-4,113.3,7.85,55.9,107.3,0,0.917,0.083
169,US,"The aromas are brooding, with notes of barrel spice and cherry. The flavors are tart and elegant in style, with lightly gritty tannins backing them up. Best suited to the dinner table.",Alder Ridge Vineyard,86,25,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA)),Cabernet Franc,Ram winery,46.2547524,-119.298975,2.9,115.9,4.62,58.93,110.9,0,0.747,0.253
170,US,"This is an unusual example of this variety, with aromas of exotic spice, flowers and herb. The palate has tart cranberry flavors that seem lacking in concentration.",Alder Ridge Vineyard,85,25,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Ram 2014 Alder Ridge Vineyard Malbec (Columbia Valley (WA)),Malbec,Ram winery,46.2547524,-119.298975,2.9,115.9,4.62,58.93,110.9,0,1,0
178,US,"A blend of Merlot and Cabernet Franc, this wine brings disjointed lightly volatile aromas of wood spice, vanilla and cherry. The plump cherry flavors are rounded out by woody barrel notes.",Inspired,86,46,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Basel Cellars 2013 Inspired Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Basel Cellars winery,46.0176265,-118.3960454,-0.8,114.5,17.03,57.73,106,0.073,0.927,0
179,US,"This wine is 64% Merlot and 36% Cabernet Franc. High-toned aromas of herb, cherry, cigar box, vanilla and baking spice are followed by coffee and cherry flavors that display a pleasing sense of balance, with espresso notes lingering on the finish.",Estate Inspired,91,46,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Basel Cellars 2012 Estate Inspired Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Basel Cellars winery,46.0176265,-118.3960454,-0.8,114.5,17.03,57.73,106,0,0.92,0.08
