,region_1,region_2,winery_name,Location1,Location2,Latitude,Longitude
0,Willamette Valley,Willamette Valley,Rainstorm winery,Rainstorm winery Willamette Valley,Rainstorm winery Willamette Valley,45.5057943,-122.7817698
1,Willamette Valley,Willamette Valley,Sweet Cheeks winery,Sweet Cheeks winery Willamette Valley,Sweet Cheeks winery Willamette Valley,43.9567308,-123.2791261
2,Napa Valley,Napa,Kirkland Signature winery,Kirkland Signature winery Napa Valley,Kirkland Signature winery Napa,38.3,-122.28
3,Alexander Valley,Sonoma,Louis M. Martini winery,Louis M. Martini winery Alexander Valley,Louis M. Martini winery Sonoma,38.4921528,-122.4528396
4,Central Coast,Central Coast,Mirassou winery,Mirassou winery Central Coast,Mirassou winery Central Coast,43.0862257,-79.0569733
5,Oregon,Oregon Other,Acrobat winery,Acrobat winery Oregon,Acrobat winery Oregon Other,39.9831513,-83.0041437
6,Paso Robles,Central Coast,Bianchi winery,Bianchi winery Paso Robles,Bianchi winery Central Coast,35.6501868,-120.5772404
7,Sonoma Coast,Sonoma,Castello di Amorosa winery,Castello di Amorosa winery Sonoma Coast,Castello di Amorosa winery Sonoma,38.5585812,-122.5427528
8,Clarksburg,Central Valley,Clarksburg Wine Company winery,Clarksburg Wine Company winery Clarksburg,Clarksburg Wine Company winery Central Valley,38.422495,-121.5324569
9,Dry Creek Valley,Sonoma,Envolve winery,Envolve winery Dry Creek Valley,Envolve winery Sonoma,38.2931378,-122.4594537
10,Sonoma Valley,Sonoma,Envolve winery,Envolve winery Sonoma Valley,Envolve winery Sonoma,38.2931378,-122.4594537
11,McMinnville,Willamette Valley,Erath winery,Erath winery McMinnville,Erath winery Willamette Valley,45.5308691,-122.6863473
12,Willamette Valley,Willamette Valley,Hawkins Cellars winery,Hawkins Cellars winery Willamette Valley,Hawkins Cellars winery Willamette Valley,45.275972,-123.013417
13,Paso Robles,Central Coast,Robert Hall winery,Robert Hall winery Paso Robles,Robert Hall winery Central Coast,35.6438816,-120.6335173
14,Napa Valley,Napa,RustRidge winery,RustRidge winery Napa Valley,RustRidge winery Napa,38.5284671,-122.3181194
15,North Coast,North Coast,Souverain winery,Souverain winery North Coast,Souverain winery North Coast,38.76284580000001,-122.9740249
16,Columbia Valley (WA),Columbia Valley,Mellisoni winery,Mellisoni winery Columbia Valley (WA),Mellisoni winery Columbia Valley,47.8353227,-120.0690467
17,Napa Valley,Napa,Okapi winery,Okapi winery Napa Valley,Okapi winery Napa,38.3530219,-122.3135765
18,Columbia Valley (WA),Columbia Valley,Ram winery,Ram winery Columbia Valley (WA),Ram winery Columbia Valley,46.2547524,-119.298975
19,Santa Ynez Valley,Central Coast,Sevtap winery,Sevtap winery Santa Ynez Valley,Sevtap winery Central Coast,34.6422768,-120.4376679
20,Columbia Valley (WA),Columbia Valley,Basel Cellars winery,Basel Cellars winery Columbia Valley (WA),Basel Cellars winery Columbia Valley,46.0176265,-118.3960454
21,Columbia Valley (WA),Columbia Valley,Drumheller winery,Drumheller winery Columbia Valley (WA),Drumheller winery Columbia Valley,47.7299119,-122.1508226
22,Alexander Valley,Sonoma,Eco Terreno winery,Eco Terreno winery Alexander Valley,Eco Terreno winery Sonoma,38.2945189,-122.4749409
23,Howell Mountain,Napa,Hindsight winery,Hindsight winery Howell Mountain,Hindsight winery Napa,38.5952332,-122.5828153
24,Calistoga,Napa,Hindsight winery,Hindsight winery Calistoga,Hindsight winery Napa,38.5952332,-122.5828153
25,Napa Valley,Napa,Mulvane Wine Co. winery,Mulvane Wine Co. winery Napa Valley,Mulvane Wine Co. winery Napa,38.2859369,-122.2863383
26,Eola-Amity Hills,Willamette Valley,Z'IVO winery,Z'IVO winery Eola-Amity Hills,Z'IVO winery Willamette Valley,45.1117642,-123.1389719
27,Napa Valley,Napa,Napa Cellars winery,Napa Cellars winery Napa Valley,Napa Cellars winery Napa,38.4212828,-122.3900237
28,Ancient Lakes,Columbia Valley,Palencia winery,Palencia winery Ancient Lakes,Palencia winery Columbia Valley,46.2874669,-119.3918724
29,Knights Valley,Sonoma,Passaggio winery,Passaggio winery Knights Valley,Passaggio winery Sonoma,37.8258512,-122.3694719
30,Sonoma County,Sonoma,Ferrari-Carano winery,Ferrari-Carano winery Sonoma County,Ferrari-Carano winery Sonoma,38.7113931,-122.9782966
31,Sonoma Coast,Sonoma,Folie à Deux winery,Folie à Deux winery Sonoma Coast,Folie à Deux winery Sonoma,38.32503210000001,-123.0394037
32,Napa Valley,Napa,Franciscan winery,Franciscan winery Napa Valley,Franciscan winery Napa,36.425443,-121.3066343
33,Columbia Valley (WA),Columbia Valley,Gård winery,Gård winery Columbia Valley (WA),Gård winery Columbia Valley,46.9950333,-120.5474648
34,Finger Lakes,Finger Lakes,Heron Hill winery,Heron Hill winery Finger Lakes,Heron Hill winery Finger Lakes,42.4499099,-77.20157069999999
35,Napa Valley,Napa,Soquel Vineyards winery,Soquel Vineyards winery Napa Valley,Soquel Vineyards winery Napa,37.0295161,-121.9338667
36,Finger Lakes,Finger Lakes,Ventosa winery,Ventosa winery Finger Lakes,Ventosa winery Finger Lakes,42.857164,-76.936131
37,Finger Lakes,Finger Lakes,Lamoreaux Landing winery,Lamoreaux Landing winery Finger Lakes,Lamoreaux Landing winery Finger Lakes,42.57663180000001,-76.8584529
38,Santa Clara Valley,Central Coast,Martin Ranch winery,Martin Ranch winery Santa Clara Valley,Martin Ranch winery Central Coast,37.0403172,-121.7114895
39,Yountville,Napa,Piña winery,Piña winery Yountville,Piña winery Napa,38.4670655,-122.3780446
40,Paso Robles,Central Coast,Pull winery,Pull winery Paso Robles,Pull winery Central Coast,35.5918539,-120.6941064
41,Santa Ynez Valley,Central Coast,R2 winery,R2 winery Santa Ynez Valley,R2 winery Central Coast,34.5866453,-120.103292
42,Alexander Valley,Sonoma,Matrix winery,Matrix winery Alexander Valley,Matrix winery Sonoma,38.5747004,-122.8772665
43,Rockpile,Sonoma,Mauritson winery,Mauritson winery Rockpile,Mauritson winery Sonoma,38.6505673,-122.911977
44,Napa Valley,Napa,Silverado winery,Silverado winery Napa Valley,Silverado winery Napa,38.4121687,-122.3369596
45,Santa Lucia Highlands,Central Coast,Banyan winery,Banyan winery Santa Lucia Highlands,Banyan winery Central Coast,36.4307709,-121.4203754
46,Spring Mountain District,Napa,Terra Valentine winery,Terra Valentine winery Spring Mountain District,Terra Valentine winery Napa,38.5229576,-122.5489639
47,Santa Lucia Highlands,Central Coast,Testarossa winery,Testarossa winery Santa Lucia Highlands,Testarossa winery Central Coast,37.21347799999999,-121.981544
48,Santa Ynez Valley,Central Coast,Vincent Vineyards winery,Vincent Vineyards winery Santa Ynez Valley,Vincent Vineyards winery Central Coast,34.6526975,-120.0948277
49,Monterey,Central Coast,Wrath winery,Wrath winery Monterey,Wrath winery Central Coast,36.40920699999999,-121.385207
50,Napa Valley,Napa,Yardstick winery,Yardstick winery Napa Valley,Yardstick winery Napa,38.303599,-122.2749171
51,Carmel Valley,Central Coast,Albatross Ridge winery,Albatross Ridge winery Carmel Valley,Albatross Ridge winery Central Coast,36.4778066,-121.7291031
52,Paso Robles,Central Coast,Alta Colina winery,Alta Colina winery Paso Robles,Alta Colina winery Central Coast,35.650182,-120.7449239
53,Santa Cruz Mountains,Central Coast,Big Basin winery,Big Basin winery Santa Cruz Mountains,Big Basin winery Central Coast,36.9665305,-122.024688
54,Paso Robles,Central Coast,Chronic Cellars winery,Chronic Cellars winery Paso Robles,Chronic Cellars winery Central Coast,35.6743698,-120.7302499
55,Edna Valley,Central Coast,Claiborne & Churchill winery,Claiborne & Churchill winery Edna Valley,Claiborne & Churchill winery Central Coast,35.1981318,-120.6050906
56,Paso Robles,Central Coast,Dracaena winery,Dracaena winery Paso Robles,Dracaena winery Central Coast,35.6277006,-120.688691
57,Napa Valley,Napa,Duckhorn winery,Duckhorn winery Napa Valley,Duckhorn winery Napa,38.5294055,-122.4906713
58,Russian River Valley,Sonoma,Dutton-Goldfield winery,Dutton-Goldfield winery Russian River Valley,Dutton-Goldfield winery Sonoma,38.43728979999999,-122.8583333
59,Willamette Valley,Willamette Valley,Le Cadeau winery,Le Cadeau winery Willamette Valley,Le Cadeau winery Willamette Valley,45.2725028,-123.0161155
60,Sonoma Valley,Sonoma,Kenwood winery,Kenwood winery Sonoma Valley,Kenwood winery Sonoma,38.416739,-122.543335
61,Santa Lucia Highlands,Central Coast,Manzoni winery,Manzoni winery Santa Lucia Highlands,Manzoni winery Central Coast,36.4722855,-121.4676372
62,Arroyo Seco,Central Coast,McIntyre Vineyards winery,McIntyre Vineyards winery Arroyo Seco,McIntyre Vineyards winery Central Coast,36.537164,-121.908697
63,Sonoma Coast,Sonoma,Anaba winery,Anaba winery Sonoma Coast,Anaba winery Sonoma,38.236279,-122.4639687
64,Napa Valley,Napa,Sequum winery,Sequum winery Napa Valley,Sequum winery Napa,38.4983363,-122.4562191
65,Nevada County,Sierra Foothills,Sierra Starr winery,Sierra Starr winery Nevada County,Sierra Starr winery Sierra Foothills,39.2192,-121.0628902
66,Paso Robles,Central Coast,J. Lohr winery,J. Lohr winery Paso Robles,J. Lohr winery Central Coast,35.690881,-120.6413352
67,Arroyo Seco,Central Coast,J. Lohr winery,J. Lohr winery Arroyo Seco,J. Lohr winery Central Coast,35.690881,-120.6413352
